Day,Hours,Category,Project,Sub Project,Timeline category
2/18/2023,2,2nd Draft,Sorceress,2nd Draft,5 Sorceress 2nd
2/19/2023,3,2nd Draft,Sorceress,2nd Draft,5 Sorceress 2nd
2/20/2023,1.25,2nd Draft,Sorceress,2nd Draft,5 Sorceress 2nd
2/24/2023,0.5,2nd Draft,Sorceress,2nd Draft,5 Sorceress 2nd
2/25/2023,2,2nd Draft,Sorceress,2nd Draft,5 Sorceress 2nd
2/26/2023,1,2nd Draft,Sorceress,2nd Draft,5 Sorceress 2nd
2/26/2023,0.5,Querying,Sorceress,,5 Sorceress 2nd
3/5/2023,2,2nd Draft,Sorceress,2nd Draft,5 Sorceress 2nd
3/5/2023,1,Querying,Sorceress,,5 Sorceress 2nd
3/6/2023,0.5,Querying,Sorceress,,5 Sorceress 2nd
3/7/2023,0.25,Querying,Sorceress,,5 Sorceress 2nd
3/10/2023,0.5,2nd Draft,Sorceress,2nd Draft,5 Sorceress 2nd
3/10/2023,1,Querying,Sorceress,,5 Sorceress 2nd
3/11/2023,1.5,2nd Draft,Sorceress,2nd Draft,5 Sorceress 2nd
3/11/2023,0.5,Querying,Sorceress,,5 Sorceress 2nd
3/12/2023,1,Querying,Sorceress,,5 Sorceress 2nd
3/13/2023,0.5,Querying,Sorceress,,5 Sorceress 2nd
3/20/2023,1.75,Querying,Sorceress,,5 Sorceress 2nd
3/25/2023,2.75,Querying,Sorceress,,5 Sorceress 2nd
3/1/2024,0.5,2nd Draft,Raven,Planning,3 Raven 2nd
3/3/2024,1.75,2nd Draft,Raven,Planning,3 Raven 2nd
3/4/2024,1.25,2nd Draft,Raven,Planning,3 Raven 2nd
3/5/2024,0.75,2nd Draft,Raven,Planning,3 Raven 2nd
3/6/2024,0.75,2nd Draft,Raven,Planning,3 Raven 2nd
3/7/2024,0.75,2nd Draft,Raven,Planning,3 Raven 2nd
3/8/2024,0.25,2nd Draft,Raven,Planning,3 Raven 2nd
3/8/2024,1,2nd Draft,Raven,Planning,3 Raven 2nd
3/9/2024,1.5,2nd Draft,Raven,Planning,3 Raven 2nd
3/10/2024,1.5,2nd Draft,Raven,Planning,3 Raven 2nd
3/11/2024,0.5,2nd Draft,Raven,Planning,3 Raven 2nd
3/12/2024,0.5,2nd Draft,Raven,Planning,3 Raven 2nd
3/13/2024,0.75,2nd Draft,Raven,Planning,3 Raven 2nd
3/13/2024,1.75,2nd Draft,Raven,Planning,3 Raven 2nd
3/14/2024,0.5,2nd Draft,Raven,Planning,3 Raven 2nd
3/15/2024,0.5,2nd Draft,Raven,Planning,3 Raven 2nd
3/16/2024,3,2nd Draft,Raven,Planning,3 Raven 2nd
